time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,1.08984375,-0.0703125,-0.0546875
20,1.0625,-0.02734375,-0.07421875
40,1.078125,0.015625,-0.0546875
60,1.10546875,0.015625,-0.02734375
80,1.11328125,0.015625,0.0390625
100,1.04296875,0.12890625,0.06640625
120,0.97265625,0.23046875,0.04296875
140,0.875,0.3515625,0.0625
160,0.828125,0.453125,0.11328125
180,0.90625,0.44140625,0.203125
200,0.9453125,0.421875,0.26953125
221,0.87890625,0.453125,0.29296875
240,0.8046875,0.51953125,0.23046875
260,0.74609375,0.52734375,0.15625
280,0.69140625,0.45703125,0.1484375
300,0.66796875,0.4609375,0.04296875
320,0.66015625,0.484375,0.0703125
341,0.78125,0.41015625,0.15234375
360,0.8046875,0.34375,0.15234375
380,0.75390625,0.37109375,0.14453125
400,0.78515625,0.41796875,0.1640625
420,0.7734375,0.453125,0.21484375
440,0.75390625,0.48046875,0.1953125
462,0.78125,0.48046875,0.2421875
480,0.7890625,0.49609375,0.27734375
501,0.76953125,0.53515625,0.328125
520,0.75390625,0.57421875,0.265625
541,0.7734375,0.5390625,0.18359375
560,0.77734375,0.546875,0.21484375
580,0.80078125,0.56640625,0.23828125
600,0.76171875,0.61328125,0.22265625
620,0.75,0.6171875,0.18359375
640,0.81640625,0.55859375,0.21875
660,0.87109375,0.546875,0.21484375
680,0.8515625,0.5625,0.21875
701,0.80078125,0.46484375,0.1953125
720,0.88671875,0.25390625,0.234375
741,1,0.15234375,0.2734375
760,0.95703125,0.21875,0.25
780,0.93359375,0.25,0.25
800,0.921875,0.234375,0.23828125
820,0.921875,0.1640625,0.234375
840,0.98046875,0.0234375,0.25
862,0.98828125,-0.03125,0.23828125
880,0.98046875,0.01171875,0.25390625
900,0.98046875,0.05859375,0.265625
920,0.98828125,0.0625,0.28125
941,0.98046875,0.04296875,0.2578125
960,0.98046875,0.05859375,0.25
980,0.97265625,0.15234375,0.2734375
1001,0.9453125,0.25,0.296875
1021,0.93359375,0.2734375,0.29296875
1041,0.92578125,0.265625,0.265625
1060,0.91015625,0.26953125,0.23046875
1080,0.88671875,0.30078125,0.23828125
1100,0.90625,0.328125,0.25390625
1120,0.91796875,0.328125,0.26953125
1141,0.921875,0.30859375,0.2578125
1161,0.921875,0.30078125,0.25390625
1180,0.921875,0.30078125,0.234375
1201,0.92578125,0.3046875,0.22265625
1220,0.9140625,0.30078125,0.20703125
1241,0.9453125,0.2734375,0.20703125
1260,0.953125,0.2421875,0.19921875
1280,0.94921875,0.23828125,0.1875
1300,0.94140625,0.23046875,0.17578125
1321,0.94140625,0.23046875,0.17578125
1340,0.95703125,0.22265625,0.16796875
1360,0.953125,0.234375,0.1640625
1380,0.94921875,0.234375,0.16015625
1400,0.9453125,0.234375,0.14453125
1420,0.953125,0.203125,0.14453125
1440,0.95703125,0.19140625,0.14453125
1460,0.953125,0.1953125,0.14453125
1480,0.9609375,0.2109375,0.15234375
1500,0.95703125,0.2265625,0.15625
1520,0.95703125,0.23828125,0.15234375
1540,0.953125,0.2109375,0.15234375
1560,0.9609375,0.18359375,0.15625
1580,0.98828125,0.21875,0.15625
1600,0.9453125,0.19921875,0.11328125
1620,0.8515625,0.05859375,0.08203125
1640,0.8359375,-0.19140625,0.08203125
1660,0.85546875,-0.4140625,0.0703125
1680,0.79296875,-0.53515625,0.01171875
1700,0.83203125,-0.546875,-0.00390625
1720,0.7421875,-0.53125,-0.01953125
1740,0.65625,-0.62109375,0.0546875
1760,0.6875,-0.79296875,0.078125
1780,0.734375,-0.9296875,0.078125
1801,0.62109375,-1.015625,-0.0078125
