time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,0.984375,0.14453125,-0.14453125
20,0.9765625,0.15234375,-0.15234375
41,0.96875,0.15625,-0.1640625
60,0.9765625,0.1640625,-0.15625
80,0.98046875,0.16796875,-0.15234375
100,0.9765625,0.171875,-0.15625
120,0.97265625,0.18359375,-0.16015625
140,0.96875,0.1875,-0.16015625
160,0.9765625,0.1875,-0.140625
180,0.99609375,0.17578125,-0.12890625
200,1,0.16796875,-0.140625
221,0.98828125,0.18359375,-0.15234375
240,0.98046875,0.1875,-0.1484375
260,0.984375,0.1796875,-0.1484375
281,0.9921875,0.16796875,-0.1484375
301,0.98828125,0.17578125,-0.1484375
321,0.984375,0.17578125,-0.14453125
340,0.984375,0.1640625,-0.140625
361,0.984375,0.15625,-0.140625
381,0.97265625,0.15625,-0.1484375
400,0.96875,0.16015625,-0.16015625
421,0.97265625,0.1640625,-0.15625
440,0.97265625,0.16796875,-0.1484375
461,0.96484375,0.1640625,-0.1640625
480,0.95703125,0.1640625,-0.15625
500,0.97265625,0.16796875,-0.13671875
521,0.984375,0.17578125,-0.12890625
540,0.984375,0.17578125,-0.12890625
560,0.984375,0.1875,-0.125
580,0.9765625,0.18359375,-0.14453125
600,0.98046875,0.171875,-0.1328125
622,0.9921875,0.16015625,-0.125
640,0.9921875,0.1484375,-0.12890625
660,0.984375,0.15625,-0.125
680,0.984375,0.15625,-0.1171875
700,0.984375,0.15625,-0.125
721,0.9765625,0.15234375,-0.1171875
741,0.95703125,0.1171875,-0.1328125
760,0.984375,0.109375,-0.1484375
780,0.98046875,0.1328125,-0.1328125
800,0.90234375,0.109375,-0.1171875
822,0.79296875,-0.00390625,-0.17578125
841,0.8515625,-0.15625,-0.14453125
861,0.91015625,-0.296875,-0.04296875
880,1,-0.41015625,0.015625
901,1.05078125,-0.47265625,0.03125
920,1.03125,-0.50390625,0.01953125
941,1,-0.48046875,0.01171875
961,0.98046875,-0.4140625,0.02734375
980,0.96875,-0.359375,0.04296875
1000,0.96875,-0.34765625,0.05078125
1020,0.99609375,-0.35546875,0.0625
1040,0.99609375,-0.37109375,0.0703125
1060,0.98828125,-0.33984375,0.109375
1080,0.98046875,-0.30859375,0.09765625
1101,0.98828125,-0.25,0.125
1120,1,-0.22265625,0.125
1141,1.0234375,-0.21875,0.04296875
1160,1.01171875,-0.140625,0.09375
1180,1.00390625,-0.0703125,0.13671875
1200,1.0546875,-0.05078125,0.1484375
1223,1.0859375,-0.046875,0.125
1240,1.125,0.07421875,0.11328125
1260,1.0625,0.21484375,0.1171875
1280,1.06640625,0.25,0.13671875
1300,0.99609375,0.28515625,0.0078125
1321,0.97265625,0.265625,-0.10546875
1340,0.96484375,0.25390625,-0.2265625
1361,0.85546875,0.2421875,-0.359375
1381,0.796875,0.1953125,-0.50390625
1400,0.82421875,0.14453125,-0.53515625
1421,0.77734375,0.0625,-0.54296875
1440,0.6796875,-0.04296875,-0.6484375
1461,0.66015625,-0.06640625,-0.67578125
1481,0.6796875,-0.02734375,-0.640625
1502,0.66796875,-0.08203125,-0.6484375
1521,0.6484375,-0.13671875,-0.68359375
1540,0.6875,-0.1171875,-0.66796875
1561,0.7265625,-0.125,-0.65625
1582,0.7734375,-0.21484375,-0.64453125
1601,0.7734375,-0.21484375,-0.64453125
1621,0.8671875,-0.1171875,-0.5234375
1641,0.8203125,-0.15234375,-0.578125
1660,0.74609375,-0.19140625,-0.62890625
1680,0.66796875,-0.21484375,-0.66796875
1700,0.7109375,-0.21484375,-0.640625
1720,0.8671875,-0.2421875,-0.5078125
1741,0.96875,-0.23046875,-0.3828125
1760,0.99609375,-0.203125,-0.296875
1780,0.94140625,-0.23828125,-0.3046875
1800,0.8828125,-0.296875,-0.3984375
1820,0.796875,-0.30859375,-0.4375
1840,0.8515625,-0.12109375,-0.2421875
1860,1.05859375,-0.01171875,-0.015625
1881,1.1328125,-0.09375,0.0546875
1900,1.0546875,-0.1796875,-0.00390625
1920,1.0078125,-0.07421875,0.015625
1942,1.01171875,0.046875,0.04296875
1960,1.0234375,0.08203125,0.015625
1980,1.01171875,0.109375,0.03125
2000,0.9921875,0.16796875,0.0859375
2021,1,0.2265625,0.13671875
2041,1.0078125,0.26953125,0.1484375
2061,0.9765625,0.328125,0.125
2080,0.921875,0.40234375,0.1171875
2100,0.90234375,0.46875,0.109375
2120,0.859375,0.52734375,0.12109375
2140,0.80859375,0.5546875,0.1328125
2160,0.80078125,0.55078125,0.09375
2181,0.78125,0.58984375,0.05859375
2200,0.7265625,0.65234375,0.0546875
2221,0.6875,0.703125,0.0625
2240,0.65234375,0.7265625,0.03515625
2260,0.65234375,0.7265625,0.03515625
2280,0.640625,0.703125,-0.03515625
2300,0.671875,0.69140625,-0.08203125
2321,0.68359375,0.71484375,-0.046875
2341,0.68359375,0.69921875,-0.01953125
2361,0.69140625,0.67578125,-0.015625
