time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,0.98046875,0.140625,0.01953125
20,0.984375,0.12109375,0.015625
40,0.9921875,0.09765625,0.0234375
60,1,0.1015625,0.01953125
80,0.9921875,0.12109375,0.0234375
102,0.984375,0.125,0.015625
121,0.984375,0.125,0.015625
140,0.98046875,0.10546875,0.0078125
160,0.98046875,0.10546875,0.0078125
181,0.98046875,0.11328125,0.01953125
200,0.98046875,0.11328125,0.01953125
220,0.9765625,0.11328125,0.015625
240,0.99609375,0.09765625,0.0234375
260,0.99609375,0.1015625,0.02734375
280,0.9921875,0.11328125,0.0234375
300,0.98828125,0.12109375,0.015625
320,0.98046875,0.12109375,0.0078125
340,0.984375,0.1171875,0.0078125
360,0.984375,0.11328125,0.0078125
380,0.984375,0.1328125,0.0078125
400,0.98828125,0.13671875,0.01171875
420,0.984375,0.11328125,0.0078125
441,0.984375,0.09765625,0.0078125
461,0.98828125,0.09375,0.0078125
481,0.98828125,0.1015625,0.015625
500,0.98828125,0.109375,0.01953125
520,0.984375,0.10546875,0.01953125
540,0.9921875,0.10546875,0.02734375
560,0.9921875,0.10546875,0.03515625
581,0.9921875,0.1015625,0.03515625
600,0.984375,0.1015625,0.02734375
622,0.98046875,0.08984375,0.0234375
640,0.98046875,0.078125,0.01953125
660,0.9765625,0.0859375,0.015625
681,0.97265625,0.09375,0.01953125
700,0.9765625,0.09375,0.01953125
721,0.9765625,0.109375,0.015625
740,0.9765625,0.1171875,0.0234375
760,0.98828125,0.1171875,0.02734375
781,0.9921875,0.1171875,0.03125
800,1,0.11328125,0.03125
822,1,0.10546875,0.01953125
841,0.99609375,0.1171875,0.01171875
861,1.00390625,0.12890625,0.015625
881,1.0078125,0.1171875,0.02734375
901,1.0078125,0.09375,0.03125
920,1,0.08203125,0.03125
940,0.984375,0.08203125,0.0234375
961,0.97265625,0.08203125,0.015625
982,0.9765625,0.08203125,0.015625
1000,0.984375,0.08203125,0.01171875
1020,1.03125,0.0390625,0
1041,1.015625,-0.0390625,0.01953125
1061,0.85546875,-0.359375,-0.0234375
1081,0.7265625,-0.64453125,0.0234375
1102,0.38671875,-0.58984375,-0.09765625
1120,-0.12890625,0.26953125,-0.3515625
1140,-0.40625,1.515625,-0.16796875
1160,-0.53515625,2.17578125,-0.25390625
1182,-0.16796875,1.1484375,-0.04296875
1201,-0.06640625,0.6953125,0.04296875
1222,-0.203125,1.1796875,-0.2265625
1241,-0.27734375,1.33984375,-0.1015625
1260,-0.32421875,1.2578125,-0.13671875
1282,-0.32421875,1.2578125,-0.13671875
1301,-0.1328125,1.140625,-0.15234375
1323,-0.12109375,1.2109375,-0.0546875
1343,-0.13671875,1.390625,-0.05078125
1361,-0.03125,1.46875,-0.08203125
1382,0.05859375,1.31640625,-0.046875
1400,0.1875,1.0390625,-0.0625
1420,0.2109375,0.6015625,-0.140625
1440,0.30078125,0.24609375,-0.1640625
1461,0.609375,-0.2109375,-0.01953125
1480,0.765625,-0.55078125,-0.06640625
1503,0.8203125,-0.6640625,-0.05078125
1520,1.04296875,-0.57421875,0.18359375
1540,1.1015625,-0.46875,0.265625
1560,0.98828125,-0.3203125,0.234375
1581,0.95703125,-0.14453125,0.2265625
1603,0.92578125,-0.05859375,0.17578125
1624,0.9296875,-0.00390625,0.1171875
1640,0.96484375,0.06640625,0.10546875
1663,0.953125,0.12109375,0.12109375
1682,0.94140625,0.1171875,0.12890625
1700,0.9453125,0.07421875,0.12109375
1720,0.9609375,0.015625,0.11328125
1741,0.9765625,-0.0234375,0.09375
1760,0.99609375,0.00390625,0.11328125
1782,1.00390625,0.0546875,0.13671875
1800,0.99609375,0.07421875,0.13671875
1822,1.00390625,0.0546875,0.12109375
1841,1.015625,0.03125,0.10546875
1860,1.0234375,0.04296875,0.1171875
1882,1.0234375,0.08203125,0.140625
1900,1.0234375,0.08203125,0.140625
1920,1.01171875,0.0859375,0.125
1941,1.01171875,0.0625,0.11328125
1961,1.01171875,0.0625,0.11328125
1980,1,0.05078125,0.109375
2001,0.98828125,0.05859375,0.11328125
2020,0.98828125,0.0546875,0.1171875
2040,0.9921875,0.03515625,0.1171875
2060,0.98828125,0.0390625,0.12890625
2080,0.9921875,0.04296875,0.12890625
2100,0.9921875,0.0546875,0.12890625
2120,0.9921875,0.05859375,0.125
2140,0.98828125,0.0546875,0.12109375
2160,0.99609375,0.04296875,0.1328125
2180,1.00390625,0.01953125,0.13671875
2200,1.03515625,0.01953125,0.15625
2220,1.12890625,-0.00390625,0.2109375
2241,1.12109375,-0.2265625,0.28125
2261,1.01953125,-0.52734375,0.1875
2280,0.79296875,-0.62109375,0.03515625
2300,0.5,-0.65625,-0.02734375
2320,-0.26953125,-0.015625,-0.30078125
2340,-0.63671875,1.15625,-0.25390625
2361,-0.6640625,2.0546875,0.03515625
2380,-0.53515625,1.6796875,0.1796875
2401,-0.03125,0.953125,0.17578125
2420,-0.296875,1.1171875,-0.25390625
2441,-0.33984375,1.22265625,-0.21484375
2460,-0.1953125,1.06640625,-0.171875
2480,-0.21484375,0.9609375,-0.234375
2500,-0.1796875,0.92578125,-0.23828125
2520,-0.1171875,0.96875,-0.1640625
2540,-0.12109375,1.0703125,-0.10546875
2561,-0.1796875,1.1640625,-0.1015625
2582,-0.21875,1.29296875,-0.046875
2600,-0.015625,1.421875,0.125
2622,0.0703125,1.25390625,0.15625
2640,0.24609375,1.015625,0.1015625
2662,0.25390625,0.69140625,0.00390625
2681,0.34375,0.3671875,-0.08203125
2700,0.53125,0.03125,-0.09375
2722,0.734375,-0.3046875,-0.02734375
2742,0.8671875,-0.46484375,0.015625
2760,0.91796875,-0.55859375,0.1015625
2781,1.0859375,-0.60546875,0.2421875
2800,1.15625,-0.640625,0.24609375
2820,1.015625,-0.5234375,0.15625
2840,0.94921875,-0.33203125,0.1015625
2860,0.953125,-0.17578125,0.140625
2882,0.98828125,-0.1328125,0.1953125
2900,1.03125,-0.19140625,0.19921875
2921,0.9921875,-0.23046875,0.12890625
2940,0.91796875,-0.1875,0.04296875
2960,0.89453125,-0.09375,0.03515625
2982,0.9296875,-0.01171875,0.08203125
3002,0.97265625,-0.0078125,0.1171875
3020,0.99609375,-0.0234375,0.11328125
3040,0.98046875,0.00390625,0.0859375
3060,0.9765625,0.046875,0.08984375
3080,0.98828125,0.0625,0.11328125
3100,1.00390625,0.0625,0.125
3120,1.015625,0.0546875,0.1171875
3140,1.00390625,0.046875,0.09765625
3160,1.00390625,0.046875,0.09765625
3182,1,0.0546875,0.109375
3200,0.99609375,0.06640625,0.1015625
3220,1,0.05859375,0.08984375
3241,0.98828125,0.05859375,0.078125
3260,0.98828125,0.07421875,0.078125
3280,0.98828125,0.08984375,0.08984375
3302,0.98828125,0.0859375,0.08984375
3320,0.98046875,0.08203125,0.078125
3340,0.98046875,0.07421875,0.078125
3360,0.98046875,0.08203125,0.08984375
3382,0.9921875,0.0859375,0.109375
3400,1.015625,0.0703125,0.125
3420,1.046875,0.02734375,0.1484375
3440,1.171875,-0.12890625,0.203125
3460,1.3671875,-0.3828125,0.33203125
3480,1.02734375,-0.73828125,0.265625
3502,0.05859375,-1.03125,-0.0390625
3520,-0.2421875,-0.38671875,-0.609375
3540,-0.390625,0.890625,-0.4921875
3561,-0.65625,2.32421875,0.1796875
3582,-0.04296875,0.86328125,0.046875
3600,-0.04296875,0.86328125,0.046875
3621,0.22265625,0.40234375,-0.0234375
3641,-0.0625,0.89453125,-0.19921875
3660,-0.16796875,1.125,-0.16796875
3682,-0.1796875,0.99609375,-0.140625
3700,-0.1796875,0.99609375,-0.140625
3720,-0.1015625,0.95703125,-0.11328125
3741,-0.01953125,1.10546875,-0.12890625
3760,-0.08203125,1.24609375,-0.06640625
3780,0.0859375,1.3671875,0.109375
3800,0.2265625,1.328125,0.171875
3820,0.328125,1.02734375,0.1796875
3840,0.34765625,0.640625,0.04296875
3860,0.44921875,0.33984375,-0.0546875
3880,0.5703125,-0.00390625,-0.125
3900,0.70703125,-0.32421875,-0.07421875
3921,0.81640625,-0.5234375,-0.015625
3941,1,-0.60546875,0.1484375
3960,1.1015625,-0.58203125,0.20703125
3981,1.05078125,-0.4375,0.17578125
4000,1.0078125,-0.28515625,0.171875
4020,1.00390625,-0.203125,0.1875
4040,1.03125,-0.1953125,0.203125
4060,1.04296875,-0.17578125,0.1796875
4081,0.97265625,-0.1171875,0.12890625
4100,0.94921875,-0.05859375,0.1015625
4120,0.94921875,-0.0234375,0.10546875
