time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,1,0.078125,0.04296875
21,0.99609375,0.08203125,0.0390625
39,0.99609375,0.09375,0.0390625
60,0.99609375,0.09375,0.03515625
80,0.9921875,0.078125,0.03515625
101,0.984375,0.0703125,0.03515625
121,0.9921875,0.06640625,0.0390625
140,0.99609375,0.0703125,0.0390625
160,0.98828125,0.07421875,0.03515625
181,0.98046875,0.08203125,0.03125
200,0.984375,0.08203125,0.0234375
220,0.9765625,0.0859375,0.01953125
240,0.984375,0.08984375,0.01953125
260,0.99609375,0.09375,0.03125
280,0.99609375,0.10546875,0.02734375
300,0.98828125,0.1171875,0.0234375
320,0.98828125,0.11328125,0.03125
339,0.9921875,0.09375,0.03125
360,1,0.08203125,0.0390625
381,1,0.08203125,0.04296875
400,1,0.08203125,0.046875
420,1,0.08203125,0.05078125
440,1,0.078125,0.046875
459,1.00390625,0.07421875,0.05078125
480,1,0.07421875,0.046875
500,0.99609375,0.0703125,0.046875
520,0.98828125,0.05859375,0.0390625
540,0.98828125,0.0625,0.0390625
560,0.98828125,0.0703125,0.0390625
582,0.99609375,0.07421875,0.04296875
600,0.99609375,0.078125,0.03515625
621,0.99609375,0.07421875,0.0390625
640,0.984375,0.0703125,0.03125
660,0.98046875,0.07421875,0.03125
680,0.984375,0.078125,0.0390625
701,0.9921875,0.08203125,0.04296875
722,0.984375,0.0859375,0.03515625
740,0.984375,0.0859375,0.03515625
760,0.984375,0.08203125,0.02734375
780,0.9921875,0.07421875,0.02734375
800,1.00390625,0.0703125,0.03515625
820,1.01171875,0.08203125,0.0390625
840,1.0078125,0.0859375,0.0390625
859,1.00390625,0.078125,0.0390625
880,0.99609375,0.07421875,0.03515625
900,0.9921875,0.078125,0.03515625
920,0.9921875,0.0859375,0.0390625
940,1,0.09375,0.05078125
960,0.99609375,0.09765625,0.0390625
980,0.98828125,0.08984375,0.03515625
1000,0.98046875,0.08203125,0.03125
1020,0.984375,0.0703125,0.03515625
1040,0.98828125,0.06640625,0.03515625
1060,0.98828125,0.06640625,0.03515625
