time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,0.98828125,0.171875,0.05078125
20,0.984375,0.16796875,0.05078125
39,0.984375,0.171875,0.046875
60,0.98046875,0.17578125,0.04296875
80,0.96875,0.18359375,0.03515625
100,0.96484375,0.18359375,0.0234375
119,0.96875,0.17578125,0.0234375
139,0.9765625,0.18359375,0.03125
159,0.97265625,0.1875,0.03125
180,0.97265625,0.1953125,0.03515625
200,0.9765625,0.1953125,0.03125
220,0.9765625,0.19140625,0.03515625
239,0.98046875,0.1796875,0.03515625
259,0.98046875,0.1796875,0.03515625
279,0.984375,0.1875,0.03125
301,0.97265625,0.1875,0.03125
319,0.97265625,0.1953125,0.0234375
340,0.98828125,0.17578125,0.03125
360,0.98828125,0.17578125,0.03125
380,0.98046875,0.19140625,0.03515625
399,0.98046875,0.1953125,0.03515625
419,0.9765625,0.1953125,0.03515625
439,0.9765625,0.1953125,0.03515625
459,0.97265625,0.1875,0.03125
479,0.9765625,0.19140625,0.03515625
501,0.9765625,0.19921875,0.03515625
520,0.97265625,0.1953125,0.03515625
539,0.98046875,0.19140625,0.03515625
559,0.98046875,0.1875,0.03125
580,0.98046875,0.19140625,0.0234375
600,0.9765625,0.19921875,0.0234375
621,0.97265625,0.19921875,0.0234375
639,0.953125,0.20703125,0.0234375
660,0.953125,0.3046875,-0.0078125
680,0.95703125,0.3359375,0.03515625
701,0.91796875,0.1484375,0.05078125
719,0.76953125,-0.1171875,0.03125
740,0.46484375,-0.4609375,-0.125
759,0.09375,-0.6640625,-0.23046875
780,-0.140625,-0.84375,-0.13671875
800,-0.203125,-1.2109375,0.02734375
819,-0.21875,-1.57421875,-0.0234375
839,-0.25,-1.3828125,-0.05859375
859,-0.34765625,-0.9765625,-0.10546875
880,-0.30078125,-0.859375,-0.03125
899,-0.12890625,-1.046875,0.0625
919,-0.0703125,-1.20703125,0.1328125
939,-0.0625,-1.2109375,0.109375
959,-0.04296875,-1,0.1328125
980,-0.0234375,-0.9140625,0.11328125
1000,-0.0078125,-1.00390625,0.0703125
1019,-0.0546875,-1.03515625,0.0234375
1040,-0.0625,-1.01171875,0.0078125
1060,-0.02734375,-1.09375,0.02734375
1079,0.21484375,-1.234375,0.1171875
1100,0.4375,-1.41015625,0.26171875
1120,0.5234375,-1.5234375,0.32421875
1140,0.34765625,-1.1953125,0.375
1159,0.46875,-0.74609375,0.14453125
1181,0.5625,-0.6171875,-0.1484375
1200,0.62890625,-0.0546875,-0.140625
1219,0.76953125,0.58203125,0.04296875
1240,0.68359375,0.83984375,0.08203125
1259,0.6953125,0.609375,-0.046875
1279,0.83984375,0.35546875,-0.02734375
1300,0.95703125,0.328125,0.10546875
1320,0.95703125,0.40625,0.14453125
1340,0.94140625,0.4296875,0.11328125
1360,0.921875,0.375,0.08203125
1380,0.953125,0.33203125,0.0625
1399,0.96875,0.33984375,0.08203125
1419,0.94140625,0.3828125,0.078125
1440,0.91015625,0.35546875,0.0546875
1460,0.91796875,0.3046875,0.05078125
1479,0.93359375,0.3203125,0.05859375
1499,0.91796875,0.359375,0.0546875
1519,0.91796875,0.38671875,0.0546875
1539,0.9296875,0.375,0.0546875
1559,0.9296875,0.33203125,0.05859375
1580,0.93359375,0.3125,0.05078125
1600,0.921875,0.34765625,0.05859375
1619,0.91796875,0.375,0.06640625
1640,0.92578125,0.359375,0.05859375
1660,0.92578125,0.328125,0.0546875
1680,0.921875,0.32421875,0.046875
1700,0.91015625,0.3359375,0.046875
1720,0.90234375,0.34765625,0.046875
1739,0.91015625,0.359375,0.05078125
1759,0.93359375,0.35546875,0.06640625
1780,0.9375,0.3828125,0.0703125
1800,0.9765625,0.4140625,0.109375
1819,1.14453125,0.44921875,0.171875
1839,0.98046875,0.4453125,0.0859375
1860,0.515625,0.3515625,-0.06640625
1880,0.0546875,0.00390625,-0.203125
1901,-0.20703125,-0.67578125,-0.05859375
1919,0.15625,-1.42578125,0.00390625
1939,-0.1953125,-1.73046875,-0.015625
1960,-0.65625,-1.40234375,-0.22265625
1981,-0.87109375,-0.921875,-0.28515625
1999,-0.6796875,-0.9921875,-0.1953125
2022,-0.3046875,-1.25,-0.0078125
2039,-0.078125,-1.36328125,0.09375
2061,-0.00390625,-1.16015625,0.109375
2080,0.07421875,-0.9140625,0.140625
2100,0.12890625,-0.921875,0.09765625
2119,0.11328125,-0.94140625,0.02734375
2139,0.1875,-1.06640625,0.09765625
2160,0.62890625,-1.32421875,0.38671875
2180,1.04296875,-1.68359375,0.72265625
2200,0.9921875,-1.8515625,1.0078125
2221,0.41796875,-2.00390625,0.73828125
2239,0.1484375,-1.99609375,-0.47265625
2260,0.0703125,-0.4140625,-0.52734375
2281,0.5078125,0.98046875,0.078125
2301,0.44140625,0.796875,-0.06640625
2319,0.5546875,0.44140625,-0.1484375
2339,0.83203125,0.4921875,0.046875
2360,0.9140625,0.67578125,0.203125
2381,0.97265625,0.70703125,0.19921875
2400,1.04296875,0.57421875,0.16015625
2424,1.015625,0.4296875,0.09765625
2439,1.015625,0.4296875,0.09765625
2460,0.9140625,0.40625,0.01953125
2479,0.8671875,0.40234375,0.015625
2499,0.8671875,0.38671875,0.01171875
2520,0.87890625,0.3671875,0.0234375
2539,0.89453125,0.3671875,0.03125
2560,0.90234375,0.3828125,0.046875
2580,0.921875,0.421875,0.05859375
2599,0.953125,0.421875,0.0703125
2619,0.9609375,0.3984375,0.08984375
2640,0.9375,0.38671875,0.078125
2660,0.921875,0.3984375,0.078125
2680,0.91796875,0.40625,0.0625
2700,0.921875,0.37890625,0.05859375
2721,0.91796875,0.33984375,0.046875
2740,0.92578125,0.34375,0.05078125
2760,0.90625,0.3671875,0.05859375
2779,0.890625,0.3671875,0.046875
2801,0.90625,0.35546875,0.05078125
2819,0.9140625,0.359375,0.0625
2840,0.921875,0.37109375,0.05859375
2859,0.91015625,0.3828125,0.0546875
2880,0.90625,0.36328125,0.05078125
2899,0.921875,0.36328125,0.046875
2922,0.92578125,0.35546875,0.05078125
2940,0.91015625,0.35546875,0.04296875
2959,0.90234375,0.36328125,0.04296875
2980,0.96875,0.51171875,0.0546875
3000,0.96875,0.51171875,0.0546875
3020,0.37109375,0.1171875,-0.03125
3040,0.171875,-0.33984375,0.00390625
3059,-0.3359375,-0.91796875,-0.0546875
3079,-0.16015625,-1.609375,-0.0546875
3099,-0.33203125,-1.61328125,-0.11328125
3119,-0.57421875,-1.26953125,-0.125
3139,-0.6640625,-1.10546875,-0.125
3159,-0.50390625,-1.09765625,-0.078125
3180,-0.36328125,-1.1484375,-0.01953125
3200,-0.17578125,-1.11328125,0.06640625
3219,-0.0546875,-1.0859375,0.1328125
3240,0.03125,-1.04296875,0.140625
3259,0.05078125,-1.015625,0.1328125
3280,0.05859375,-1.04296875,0.05859375
3300,0.03125,-1.0625,0.0234375
3320,0.19921875,-1.1484375,0.12109375
3339,0.44921875,-1.35546875,0.33203125
3359,0.8203125,-1.5390625,0.55859375
3380,1.0078125,-1.796875,0.85546875
3399,0.546875,-1.97265625,0.51171875
3421,0.0703125,-1.8984375,-0.46484375
3440,0.10546875,-0.140625,-0.4375
3460,0.41796875,1.0546875,0.015625
3479,0.36328125,0.9140625,-0.1328125
3501,0.5703125,0.53125,-0.1953125
3519,0.90625,0.58203125,0.109375
3539,0.94140625,0.6796875,0.21484375
3560,0.98046875,0.578125,0.17578125
3579,1,0.45703125,0.125
3600,1.00390625,0.37109375,0.1015625
3619,0.984375,0.3984375,0.09375
3639,0.91015625,0.3828125,0.046875
3660,0.8828125,0.359375,0.046875
3679,0.890625,0.3828125,0.05078125
3701,0.88671875,0.4140625,0.04296875
3720,0.90234375,0.43359375,0.06640625
3739,0.921875,0.4453125,0.078125
3759,0.9375,0.4296875,0.07421875
3780,0.921875,0.41796875,0.0546875
3799,0.9296875,0.390625,0.0625
3819,0.921875,0.41015625,0.0703125
3839,0.91015625,0.42578125,0.06640625
