time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,0.9921875,0.06640625,0.0703125
20,0.98828125,0.0703125,0.06640625
40,0.984375,0.07421875,0.0703125
61,0.98828125,0.07421875,0.06640625
79,0.984375,0.07421875,0.0703125
100,0.99609375,0.0703125,0.07421875
119,0.99609375,0.07421875,0.07421875
140,0.99609375,0.06640625,0.0703125
161,1,0.06640625,0.078125
181,0.99609375,0.0625,0.07421875
199,1,0.05859375,0.078125
219,1.0078125,0.0625,0.07421875
240,1,0.05078125,0.08203125
259,1.0078125,0.05859375,0.078125
281,1.00390625,0.0625,0.07421875
300,1.00390625,0.06640625,0.078125
319,1.00390625,0.06640625,0.078125
340,0.99609375,0.0625,0.0703125
361,0.99609375,0.0625,0.0703125
379,0.9921875,0.0625,0.0703125
400,1,0.05859375,0.08203125
420,1,0.05859375,0.078125
440,1,0.05859375,0.078125
460,0.99609375,0.05859375,0.08203125
480,1.0078125,0.0625,0.07421875
500,1.00390625,0.05859375,0.0703125
519,0.99609375,0.06640625,0.07421875
541,1.0078125,0.078125,0.078125
560,1.015625,0.08203125,0.0625
581,1.0234375,0.09375,0.0625
600,1.01953125,0.1015625,0.046875
620,1.01953125,0.16015625,0
639,0.96875,0.59375,-0.1640625
661,0.41796875,1.6796875,-0.8203125
680,0.01953125,2.05859375,-0.50390625
701,-0.0703125,0.828125,0.01953125
721,-0.015625,-0.08984375,0.56640625
739,-1.01171875,-0.88671875,0.68359375
761,-1.03515625,-1.6640625,0.6875
780,-1.125,-1.7421875,0.3515625
799,-1.26953125,-2.01171875,-0.1171875
822,-1.1328125,-1.94140625,-0.34375
842,-0.9609375,-1.6484375,-0.40625
861,-0.90625,-1.49609375,-0.375
881,-0.8359375,-1.3671875,-0.328125
901,-0.73828125,-1.2578125,-0.24609375
920,-0.55859375,-1.15625,-0.109375
940,-0.40625,-1.0625,0.046875
959,-0.32421875,-1.0703125,0.18359375
980,-0.17578125,-1.125,0.3046875
1000,0.25390625,-1,0.4375
1019,0.25390625,-1,0.4375
1039,0.328125,-0.7421875,0.2890625
1059,0.3203125,-0.65625,0.23828125
1079,0.296875,-0.4140625,0.15625
1099,0.34765625,-0.08984375,0.04296875
