time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,0.80078125,0.00390625,0.46484375
19,0.9296875,0.05859375,0.41015625
39,0.9609375,-0.17578125,0.52734375
60,0.7265625,-0.25390625,0.3203125
79,1.02734375,0.12109375,0.29296875
101,0.89453125,-0.0390625,0.3046875
120,0.875,-0.10546875,0.31640625
140,0.82421875,-0.09765625,0.328125
160,0.89453125,-0.05078125,0.34375
179,0.9453125,0.28515625,0.34375
200,0.95703125,-0.046875,0.15234375
219,1.01171875,-0.35546875,0.265625
240,0.96875,-0.125,0.234375
260,0.9375,-0.05859375,0.17578125
280,0.9609375,-0.015625,0.13671875
300,0.98046875,0,0.12890625
319,0.98828125,0.25390625,0.2578125
339,1.02734375,-0.0546875,0.203125
360,1.07421875,-0.171875,0.24609375
379,0.98828125,-0.1328125,0.234375
400,0.94921875,-0.015625,0.140625
419,0.43359375,0.0078125,0.19140625
439,1.47265625,-0.0390625,0.13671875
460,1.34765625,-0.02734375,0.19921875
479,1.04296875,-0.0234375,0.15234375
500,0.984375,-0.00390625,0.0703125
519,0.96875,-0.015625,0.00390625
539,0.95703125,0.015625,0.00390625
562,0.96875,0.09375,0.05078125
579,0.90625,0.0859375,0.046875
599,0.87890625,0.01171875,0.05078125
619,0.8125,0.08203125,0.05078125
639,0.84765625,-0.03125,0.046875
659,0.921875,0.04296875,0.09765625
679,0.94921875,0.03515625,0.140625
699,0.94921875,0.03515625,0.140625
720,1.00390625,0.046875,0.21484375
740,1.05859375,0.0625,0.24609375
759,1.1015625,0.078125,0.26171875
780,1.08203125,0.1015625,0.3046875
800,1.14453125,0.06640625,0.23828125
819,1.08203125,0.11328125,0.16796875
840,1.05078125,0.140625,0.15625
860,1.0546875,0.07421875,0.16796875
879,1.1484375,0.21484375,0.2109375
899,1.10546875,0.23828125,0.16015625
920,1.01171875,0.19140625,0.1796875
939,0.96484375,0.1328125,0.19921875
960,0.9296875,0.17578125,0.18359375
979,0.94140625,0.21875,0.1875
1000,0.859375,0.24609375,0.24609375
