time,OV39.forces.x,OV39.forces.y,OV39.forces.z
0,0.99609375,-0.01171875,0.12109375
21,0.99609375,-0.0078125,0.125
41,0.98828125,-0.0078125,0.12109375
60,0.98046875,0,0.125
81,0.9921875,0,0.12890625
102,0.9921875,-0.00390625,0.12890625
121,0.984375,-0.0078125,0.140625
141,0.9921875,-0.01953125,0.1328125
161,0.99609375,-0.02734375,0.13671875
183,0.98828125,-0.015625,0.14453125
202,1,-0.0234375,0.14453125
220,1.00390625,-0.03125,0.14453125
241,1.01171875,-0.03515625,0.14453125
261,1.01171875,-0.03515625,0.15234375
281,1.00390625,-0.03125,0.14453125
303,1,-0.0234375,0.125
321,1,-0.0234375,0.125
341,0.99609375,-0.01953125,0.1171875
362,1.00390625,-0.0078125,0.125
381,0.99609375,-0.00390625,0.11328125
401,0.98828125,-0.00390625,0.109375
420,0.984375,-0.0078125,0.09375
441,0.9765625,-0.00390625,0.1015625
461,0.9765625,-0.00390625,0.09375
480,0.98046875,-0.00390625,0.09765625
503,0.98828125,-0.0078125,0.09765625
520,0.98828125,-0.01171875,0.09765625
540,0.98828125,-0.015625,0.09765625
560,0.99609375,-0.015625,0.1015625
580,1,-0.03515625,0.1015625
600,1.00390625,-0.0546875,0.1171875
621,1.0390625,-0.08203125,0.15625
641,1.41015625,-0.22265625,0.453125
661,1.61328125,-0.85546875,0.796875
681,1.01171875,-1.05859375,0.64453125
702,0.74609375,-1.13671875,0.3671875
721,0.2265625,-1.140625,0.08203125
741,-0.87109375,-0.54296875,-0.33203125
761,-1.4375,0.46875,-0.50390625
781,-1.421875,1.29296875,-0.4375
801,-1.4609375,1.578125,-0.39453125
820,-1.30859375,1.50390625,-0.2265625
841,-1.03125,1.421875,-0.1484375
861,-0.734375,1.26953125,-0.13671875
880,-0.734375,1.26953125,-0.13671875
901,-0.33984375,1.14453125,-0.4609375
921,-0.3359375,1.1875,-0.55078125
942,-0.40625,1.2734375,-0.5546875
961,-0.28515625,1.19921875,-0.35546875
982,-0.125,1.0703125,-0.18359375
1001,0.140625,0.80859375,-0.08203125
1021,0.3984375,0.4140625,-0.12890625
1041,0.52734375,0.10546875,-0.13671875
1061,0.75,-0.140625,0.01953125
1081,0.98828125,-0.29296875,0.1328125
1101,1.02734375,-0.265625,0.21484375
1120,0.95703125,-0.171875,0.2421875
1142,0.91796875,-0.1484375,0.2734375
1161,0.92578125,-0.15234375,0.2890625
1180,0.91796875,-0.09765625,0.29296875
1201,0.9140625,-0.05859375,0.28515625
1222,0.9140625,-0.04296875,0.23046875
1241,0.90234375,-0.01953125,0.19921875
1261,0.921875,-0.01171875,0.171875
1280,0.94921875,-0.015625,0.16796875
1301,0.95703125,-0.0234375,0.17578125
1321,0.96875,-0.015625,0.1953125
1340,0.96484375,-0.01171875,0.18359375
1360,0.97265625,-0.0234375,0.19140625
1381,0.98828125,-0.02734375,0.20703125
1401,1.0078125,-0.01953125,0.21484375
1421,1.015625,-0.0078125,0.22265625
1441,1.03125,-0.015625,0.21875
1460,1.0234375,-0.015625,0.21875
1480,1.015625,-0.0390625,0.203125
1501,1.015625,-0.09375,0.21875
1521,1.13671875,-0.17578125,0.3125
1541,1.6171875,-0.44921875,0.67578125
1561,1.3515625,-0.5703125,0.7734375
1580,0.78125,-0.70703125,0.625
1600,0.53515625,-1.1640625,0.25
1623,-0.16015625,-1.296875,-0.05859375
1641,-0.99609375,-0.52734375,-0.43359375
1661,-1.16796875,0.91796875,-0.53515625
1681,-1.390625,1.796875,-0.671875
1701,-1.4921875,1.80859375,-0.640625
1721,-1.17578125,1.5,-0.49609375
1743,-0.765625,1.26171875,-0.51171875
1761,-0.375,1,-0.5546875
1781,-0.06640625,0.83984375,-0.55078125
1801,0.00390625,0.87890625,-0.57421875
1822,-0.10546875,1.0546875,-0.6171875
1841,-0.1875,1.1640625,-0.5703125
1861,-0.1640625,1.0625,-0.453125
1880,-0.03125,0.92578125,-0.38671875
1901,0.18359375,0.74609375,-0.33984375
1921,0.3671875,0.5390625,-0.328125
1942,0.50390625,0.3984375,-0.2890625
1960,0.640625,0.2734375,-0.23046875
1980,0.8046875,0.1484375,-0.13671875
2000,0.90234375,0.109375,-0.04296875
2021,0.953125,0.08984375,0.03125
2041,0.97265625,0.0078125,0.07421875
2061,0.9609375,-0.08984375,0.1171875
2081,0.9609375,-0.16015625,0.125
2101,0.9765625,-0.21875,0.1640625
2121,0.99609375,-0.24609375,0.1953125
2141,0.984375,-0.23828125,0.18359375
2161,0.96484375,-0.2109375,0.171875
2180,0.96875,-0.20703125,0.1640625
2200,0.96875,-0.1953125,0.1484375
2220,0.9609375,-0.18359375,0.12890625
2240,0.95703125,-0.17578125,0.1171875
2260,0.9609375,-0.16796875,0.109375
2281,0.96484375,-0.1484375,0.11328125
2300,0.97265625,-0.1328125,0.1171875
2321,0.98046875,-0.13671875,0.12109375
2341,0.98828125,-0.140625,0.125
2360,0.984375,-0.14453125,0.1328125
2380,0.98828125,-0.15625,0.1328125
2401,0.99609375,-0.16015625,0.140625
2421,1.16015625,-0.140625,0.26171875
2441,1.59375,-0.31640625,0.62109375
2461,1.58984375,-0.6015625,0.76953125
2481,0.92578125,-0.8828125,0.40625
2500,-0.0390625,-1.35546875,-0.31640625
2521,-0.44140625,-0.88671875,-0.5546875
2541,-0.375,0.37890625,-0.40625
2561,-0.375,0.37890625,-0.40625
2580,-0.71484375,1.390625,-0.52734375
2601,-0.765625,1.7578125,-0.48828125
2622,-0.734375,1.60546875,-0.4765625
2641,-0.4921875,1.25390625,-0.40234375
2661,-0.25,1.015625,-0.42578125
2681,-0.0625,0.875,-0.50390625
2700,0.06640625,0.83984375,-0.53125
2721,0.1015625,0.91015625,-0.53515625
2741,0.015625,1.0859375,-0.5078125
2761,-0.0234375,1.19140625,-0.4140625
2780,0.08203125,1.265625,-0.28515625
2801,0.19140625,1.23046875,-0.2578125
2820,0.32421875,1,-0.2890625
2841,0.41015625,0.58203125,-0.3125
2864,0.46875,0.23046875,-0.3671875
2880,0.55078125,0.07421875,-0.3125
2901,0.75390625,-0.08984375,-0.1875
2921,0.8984375,-0.23046875,-0.01171875
2943,0.95703125,-0.32421875,0.078125
2960,0.92578125,-0.39453125,0.109375
2980,0.91796875,-0.43359375,0.15625
3001,0.953125,-0.41015625,0.19140625
3021,0.98046875,-0.3515625,0.2109375
3040,0.98046875,-0.3203125,0.1796875
3061,0.9765625,-0.28515625,0.16796875
3080,0.96484375,-0.25390625,0.140625
3101,0.984375,-0.21875,0.16015625
